,gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q2,q3
171,-0.055,-0.035,0.005,-0.048,0.35,10.011,-7.776,-3.264,-71.4,0.997,0.018,0.04,0.016
172,0.042,-0.063,0.054,-0.125,0.388,9.901,-8.56,-2.805,-72.87,0.997,0.018,0.039,0.016
173,0.087,-0.078,-0.027,-0.072,0.278,9.92,-8.56,-2.805,-72.87,0.997,0.018,0.039,0.016
174,0.003,-0.078,-0.064,-0.211,0.206,9.753,-7.76,-3.255,-70.965,0.997,0.018,0.038,0.016
175,0.097,-0.092,0.001,-0.077,0.35,9.93,-9.312,-2.004,-73.317,0.997,0.019,0.038,0.016
176,0.093,-0.106,0.027,-0.096,0.441,9.92,-9.312,-2.004,-73.317,0.997,0.019,0.038,0.016
177,0.086,-0.087,0.004,-0.182,0.445,9.901,-10.154,-3.265,-72.936,0.997,0.02,0.037,0.016
178,0.013,-0.03,-0.017,-0.086,0.378,9.911,-9.681,-2.766,-71.75,0.997,0.02,0.037,0.016
179,0.104,-0.081,0.049,-0.043,0.455,9.848,-8.927,-1.953,-70.692,0.997,0.02,0.037,0.016
180,0.038,-0.058,0.09,-0.153,0.311,9.906,-9.83,-3.411,-72.058,0.997,0.02,0.037,0.016
181,-0.022,-0.063,0.016,-0.072,0.441,9.82,-7.471,-2.615,-70.797,0.997,0.02,0.037,0.017
182,0.028,-0.08,0.051,-0.182,0.46,9.877,-9.087,-3.411,-71.596,0.997,0.02,0.036,0.017
183,0.035,-0.058,0.048,-0.22,0.331,9.891,-9.087,-3.411,-71.596,0.997,0.021,0.036,0.017
184,0.05,-0.058,0.02,-0.057,0.484,9.944,-9.22,-4.047,-71.468,0.997,0.021,0.036,0.017
185,-0.006,-0.005,-0.022,-0.163,0.422,9.824,-9.22,-4.047,-71.468,0.997,0.021,0.036,0.017
186,0.041,-0.016,-0.03,-0.081,0.364,9.887,-8.525,-3.591,-72.159,0.997,0.021,0.036,0.017
187,0.063,-0.046,0.046,-0.101,0.422,9.968,-8.567,-3.615,-73.32,0.997,0.022,0.036,0.017
188,0.024,-0.028,0.064,0.019,0.436,9.887,-8.699,-2.96,-72.733,0.997,0.022,0.036,0.017
189,0.011,-0.006,0.036,-0.043,0.584,9.949,-8.637,-3.731,-71.296,0.997,0.022,0.036,0.018
190,-0.012,-0.003,-0.045,-0.101,0.479,9.944,-9.07,-2.595,-70.855,0.997,0.022,0.036,0.017
191,-0.01,-0.015,0.004,-0.125,0.431,9.901,-7.494,-2.95,-71.529,0.997,0.022,0.036,0.017
192,-0.011,0.011,0.029,-0.192,0.417,9.848,-9.108,-2.94,-72.023,0.997,0.022,0.036,0.017
193,0.014,-0.011,0.025,0.024,0.417,9.891,-9.672,-5.018,-72.228,0.997,0.022,0.036,0.018
194,0.01,-0.022,0.03,-0.029,0.297,9.901,-9.688,-3.576,-72.201,0.997,0.022,0.036,0.018
195,-0.053,0.008,0.012,-0.081,0.436,9.719,-9.688,-3.576,-72.201,0.997,0.021,0.037,0.018
196,-0.044,0.025,0.009,-0.153,0.388,9.958,-9.818,-2.115,-71.308,0.997,0.021,0.037,0.018
197,-0.005,-0.036,0.012,0.048,0.493,9.963,-9.818,-2.115,-71.308,0.997,0.021,0.037,0.018
