ax,ay,az,gx,gy,gz,mx,my,mz
-16312.0,384.0,872.0,326.0,976.0,-252.0,157.0,-154.0,-299.0
-16608.0,112.0,696.0,268.0,580.0,-236.0,162.0,-159.0,-309.0
-16304.0,200.0,584.0,110.0,566.0,-332.0,156.0,-165.0,-315.0
-16568.0,136.0,752.0,243.0,70.0,598.0,150.0,-162.0,-308.0
-16368.0,144.0,464.0,485.0,211.0,168.0,158.0,-167.0,-308.0
-16808.0,264.0,392.0,320.0,528.0,-261.0,150.0,-160.0,-315.0
-16464.0,240.0,712.0,-528.0,-162.0,388.0,149.0,-166.0,-311.0
-16624.0,288.0,784.0,326.0,109.0,257.0,162.0,-171.0,-319.0
-16704.0,216.0,416.0,-395.0,210.0,-7.0,150.0,-167.0,-308.0
-16328.0,296.0,432.0,-367.0,641.0,-301.0,165.0,-166.0,-309.0
-16472.0,176.0,720.0,-832.0,1041.0,137.0,153.0,-167.0,-310.0
-16208.0,56.0,400.0,-606.0,332.0,-701.0,150.0,-167.0,-308.0
-16680.0,-0.0,584.0,-699.0,482.0,13.0,153.0,-172.0,-305.0
-16256.0,144.0,520.0,-474.0,772.0,-799.0,142.0,-167.0,-315.0
-16640.0,320.0,536.0,285.0,1097.0,-371.0,149.0,-173.0,-309.0
-16728.0,224.0,280.0,-284.0,876.0,-101.0,162.0,-171.0,-304.0
-16464.0,256.0,384.0,321.0,654.0,-289.0,150.0,-165.0,-313.0
-16600.0,336.0,272.0,-730.0,648.0,-336.0,169.0,-162.0,-300.0
-16568.0,184.0,256.0,477.0,643.0,505.0,150.0,-172.0,-305.0
-16664.0,296.0,256.0,-236.0,216.0,143.0,152.0,-171.0,-309.0
-16568.0,264.0,368.0,497.0,511.0,384.0,150.0,-172.0,-308.0
-16496.0,72.0,128.0,-447.0,441.0,-877.0,164.0,-167.0,-303.0
-16496.0,168.0,208.0,227.0,-64.0,380.0,166.0,-167.0,-310.0
-16528.0,-16.0,280.0,17.0,567.0,388.0,146.0,-161.0,-306.0
-16600.0,32.0,-112.0,-189.0,-7.0,44.0,157.0,-161.0,-301.0
-16568.0,280.0,32.0,-392.0,584.0,252.0,156.0,-165.0,-308.0
-16312.0,72.0,88.0,-863.0,836.0,-225.0,164.0,-167.0,-303.0
-16424.0,192.0,384.0,-806.0,650.0,443.0,144.0,-176.0,-309.0
-16576.0,144.0,-8.0,-818.0,530.0,-348.0,166.0,-167.0,-305.0
-16520.0,128.0,152.0,64.0,418.0,-205.0,161.0,-162.0,-305.0
-16408.0,432.0,32.0,-306.0,595.0,138.0,162.0,-166.0,-309.0
-16576.0,-16.0,88.0,-948.0,717.0,-198.0,161.0,-172.0,-298.0
-16280.0,-40.0,136.0,291.0,400.0,376.0,154.0,-163.0,-309.0
-16360.0,168.0,40.0,-548.0,632.0,-331.0,158.0,-175.0,-303.0
-16664.0,112.0,240.0,-503.0,752.0,-432.0,156.0,-175.0,-303.0
-16720.0,192.0,-128.0,-23.0,490.0,94.0,164.0,-170.0,-303.0
-16440.0,72.0,-440.0,-190.0,365.0,-460.0,149.0,-171.0,-309.0
-16544.0,80.0,176.0,562.0,-132.0,342.0,158.0,-165.0,-308.0
-16688.0,184.0,72.0,-316.0,578.0,-149.0,165.0,-161.0,-304.0
-16200.0,256.0,104.0,103.0,-485.0,188.0,158.0,-170.0,-305.0
-16672.0,200.0,-16.0,-264.0,-51.0,267.0,157.0,-156.0,-301.0
-16408.0,56.0,-40.0,-1114.0,336.0,-9.0,154.0,-173.0,-296.0
-16792.0,80.0,-72.0,-946.0,-216.0,145.0,158.0,-175.0,-303.0
-16288.0,144.0,64.0,154.0,-226.0,-323.0,158.0,-170.0,-310.0
-16600.0,232.0,-88.0,-473.0,-408.0,-51.0,166.0,-170.0,-295.0
-16584.0,-40.0,360.0,-827.0,387.0,-102.0,162.0,-161.0,-296.0
-16424.0,-200.0,-56.0,-201.0,85.0,-62.0,158.0,-160.0,-303.0
-16776.0,-56.0,32.0,434.0,-638.0,473.0,157.0,-163.0,-309.0
-16728.0,144.0,8.0,-303.0,-807.0,28.0,149.0,-171.0,-291.0
-16552.0,208.0,240.0,-624.0,-63.0,122.0,160.0,-166.0,-296.0
-16400.0,288.0,168.0,-1012.0,-795.0,-204.0,152.0,-166.0,-309.0
-16576.0,56.0,224.0,57.0,-483.0,782.0,149.0,-161.0,-301.0
-16472.0,112.0,376.0,-1059.0,-786.0,-40.0,153.0,-155.0,-300.0
-16552.0,336.0,496.0,-1295.0,-1149.0,-86.0,156.0,-171.0,-304.0
-16208.0,216.0,768.0,-1734.0,-1313.0,-208.0,158.0,-165.0,-315.0
-16416.0,64.0,784.0,-2084.0,-1644.0,-341.0,152.0,-166.0,-316.0
-16624.0,-80.0,544.0,-1495.0,-780.0,-236.0,146.0,-161.0,-324.0
