n,gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q3,q4
2438,-0.005,0.029,0.002,0.235,-9.987,0.479,-2.346,-40.708,-105.655,0.612,-0.518,0.377,-0.461
2439,0.044,-0.009,0.064,0.187,-10.054,0.536,-2.346,-40.708,-105.655,0.612,-0.517,0.377,-0.461
2440,-0.002,0.017,-0.03,0.196,-10.093,0.369,-4.138,-39.263,-106.562,0.611,-0.517,0.377,-0.461
2441,0.025,0.035,-0.029,0.307,-9.997,0.431,-3.628,-41.161,-105.13,0.611,-0.517,0.378,-0.462
2442,0.024,0.08,0.01,0.292,-10.045,0.417,-4.22,-40.676,-105.287,0.61,-0.517,0.379,-0.463
2443,0.048,-0.005,0.05,0.187,-10.016,0.354,-4.5,-41.15,-105.162,0.61,-0.517,0.379,-0.463
2444,0.047,-0.051,0.029,0.287,-10.054,0.388,-3.645,-41.977,-105.871,0.609,-0.517,0.379,-0.463
2445,0,-0.01,0.025,0.177,-9.906,0.311,-3.646,-39.559,-105.1,0.609,-0.517,0.38,-0.464
2446,0.008,0.012,-0.015,0.316,-9.958,0.402,-2.463,-40.368,-104.783,0.608,-0.517,0.38,-0.464
2447,-0.03,0.031,-0.001,0.182,-10.021,0.513,-4.528,-40.038,-105.576,0.607,-0.517,0.381,-0.465
2448,0.036,0.006,0.078,0.326,-10.121,0.493,-4.031,-40.814,-104.123,0.607,-0.516,0.381,-0.465
2449,0.011,0.022,0.07,0.206,-10.069,0.551,-4.031,-40.814,-104.123,0.607,-0.516,0.382,-0.465
2450,-0.037,0.052,0.043,0.24,-10.035,0.431,-4.687,-40.689,-106.174,0.606,-0.516,0.383,-0.465
2451,-0.011,0.051,-0.022,0.302,-10.054,0.412,-4.1,-41.66,-106.316,0.605,-0.516,0.383,-0.466
2452,-0.014,0.008,0.004,0.134,-10.002,0.311,-3.514,-40.213,-105.688,0.605,-0.516,0.384,-0.466
2453,0.048,0.005,0.027,0.263,-9.973,0.412,-5.104,-40.995,-105.76,0.604,-0.516,0.384,-0.467
2454,-0.008,0.046,-0.029,0.24,-10.073,0.445,-3.523,-39.412,-105.673,0.603,-0.516,0.385,-0.467
2455,0.031,0.026,0.036,0.302,-10.107,0.46,-3.767,-39.865,-104.531,0.603,-0.516,0.385,-0.468
2456,-0.039,0.039,-0.027,0.393,-10.021,0.345,-3.423,-42.257,-103.839,0.602,-0.516,0.386,-0.468
2457,-0.033,0.036,-0.001,0.225,-10.016,0.46,-3.064,-41.5,-105.696,0.602,-0.516,0.386,-0.469
2458,0.026,-0.016,0.047,0.297,-9.968,0.402,-3.647,-40.849,-105.56,0.601,-0.515,0.387,-0.469
2459,0.033,-0.038,0.015,0.287,-9.915,0.508,-4.502,-40.023,-104.85,0.601,-0.515,0.387,-0.469
2460,-0.024,0.021,-0.001,0.326,-10.006,0.388,-4.502,-40.023,-104.85,0.6,-0.515,0.387,-0.47
2461,-0.095,0.07,0,0.148,-9.949,0.445,-3.745,-41.788,-104.567,0.599,-0.516,0.388,-0.47
2462,-0.029,-0.031,-0.024,0.168,-9.982,0.422,-4.521,-41.646,-105.897,0.599,-0.516,0.389,-0.47
2463,-0.021,-0.003,0.02,0.235,-10.026,0.498,-4.791,-41.146,-105.172,0.598,-0.516,0.389,-0.471
2464,-0.032,0.07,-0.028,0.316,-10.083,0.374,-5.669,-41.946,-105.654,0.597,-0.516,0.39,-0.471
2465,0.023,-0.015,0.006,0.283,-9.944,0.388,-5.227,-41.141,-105.188,0.597,-0.516,0.39,-0.472
2466,0.029,0.015,0.054,0.23,-10.021,0.311,-3.073,-40.699,-105.681,0.596,-0.515,0.391,-0.472
2467,0.027,0.002,0.031,0.426,-10.141,0.302,-3.474,-41.48,-104.986,0.596,-0.515,0.391,-0.472
2468,0.046,-0.026,0.051,0.412,-10.078,0.283,-4.248,-41.014,-106.165,0.596,-0.515,0.391,-0.472
2469,0.049,-0.017,-0.001,0.283,-9.915,0.34,-4.675,-41.81,-106.195,0.595,-0.515,0.392,-0.473
2470,0.031,0.05,0.062,0.091,-10.064,0.522,-4.675,-41.81,-106.195,0.595,-0.515,0.392,-0.473
2471,0.095,-0.032,0.063,0.268,-9.978,0.374,-3.637,-40.36,-105.115,0.595,-0.514,0.392,-0.473
2472,0.022,0.013,0.027,0.24,-9.93,0.431,-3.637,-40.36,-105.115,0.595,-0.514,0.393,-0.474
2473,0.061,0.065,-0.025,0.359,-10.045,0.503,-4.654,-42.282,-105.769,0.594,-0.514,0.393,-0.474
2474,0.008,0.061,-0.003,0.177,-10.078,0.479,-3.796,-41.011,-105.713,0.593,-0.514,0.394,-0.475
2475,0.06,0.056,0.001,0.196,-10.054,0.532,-4.032,-41.621,-104.429,0.593,-0.513,0.394,-0.476
2476,-0.021,0.071,0,0.283,-10.011,0.46,-4.738,-41.116,-103.72,0.592,-0.513,0.395,-0.476
2477,0.016,-0.019,0.063,0.244,-9.982,0.46,-5.23,-40.821,-105.182,0.592,-0.513,0.395,-0.476
2478,0.072,0.032,0.06,0.244,-10.016,0.383,-4.621,-41.457,-104.592,0.592,-0.513,0.396,-0.477
2479,0.042,0.012,0.022,0.259,-9.944,0.455,-4.827,-41.651,-106.343,0.591,-0.513,0.396,-0.477
2480,0.063,-0.013,0.045,0.402,-10.006,0.369,-4.827,-41.651,-106.343,0.591,-0.512,0.396,-0.477
2481,0.052,-0.006,0.035,0.331,-10.064,0.46,-3.56,-39.917,-106.843,0.591,-0.512,0.397,-0.478
2482,0.017,0.041,-0.013,0.216,-10.064,0.522,-4.218,-39.869,-104.982,0.59,-0.512,0.397,-0.478
2483,0.023,-0.032,0.022,0.216,-9.968,0.556,-4.218,-39.869,-104.982,0.59,-0.512,0.397,-0.478
2484,-0.011,0.037,0.001,0.326,-9.978,0.479,-5.995,-41.156,-106.376,0.589,-0.512,0.398,-0.479
2485,0.009,-0.027,0.008,0.321,-9.982,0.536,-4.548,-39.243,-105.852,0.589,-0.512,0.398,-0.479
2486,-0.05,0.031,-0.034,0.287,-9.978,0.455,-4.542,-41.174,-106.323,0.588,-0.512,0.398,-0.479
2487,0.006,-0.005,0.014,0.307,-10.088,0.604,-3.637,-40.36,-105.115,0.588,-0.512,0.399,-0.48
2488,-0.055,0.008,-0.009,0.192,-9.963,0.546,-3.201,-40.365,-105.099,0.587,-0.512,0.399,-0.48
2489,-0.057,0.022,-0.044,0.259,-9.978,0.556,-4.234,-39.394,-105.263,0.586,-0.512,0.4,-0.48
2490,0.004,-0.019,0.063,0.297,-9.93,0.407,-4.81,-40.835,-105.602,0.586,-0.512,0.4,-0.48
2491,-0.01,0.029,-0.059,0.206,-9.939,0.45,-3.057,-40.69,-105.245,0.585,-0.512,0.4,-0.481
2492,-0.067,0.024,0.021,0.287,-9.944,0.417,-3.246,-40.069,-106.255,0.585,-0.512,0.401,-0.481
2493,0.026,-0.017,0.043,0.206,-10.069,0.316,-3.246,-40.069,-106.255,0.584,-0.512,0.401,-0.481
2494,-0.039,0.037,-0.064,0.388,-10.026,0.484,-4.109,-40.859,-106.301,0.584,-0.512,0.402,-0.482
2495,-0.043,0.024,-0.012,0.206,-10.093,0.412,-3.246,-40.069,-106.255,0.583,-0.512,0.402,-0.482
2496,0.021,-0.052,0.02,0.302,-9.982,0.436,-2.658,-40.233,-106.092,0.583,-0.512,0.402,-0.482
2497,-0.062,0.011,-0.015,0.235,-9.973,0.632,-4.127,-39.257,-106.271,0.582,-0.512,0.403,-0.482
2498,-0.043,0.037,0.018,0.292,-9.978,0.402,-2.931,-40.864,-105.824,0.582,-0.512,0.403,-0.483
2499,0.023,-0.009,0.036,0.144,-9.987,0.431,-3.782,-39.874,-104.966,0.581,-0.512,0.404,-0.483
2500,0.044,-0.024,-0.002,0.206,-10.011,0.316,-3.211,-40.855,-105.544,0.581,-0.512,0.404,-0.483
2501,0.021,-0.014,0.035,0.216,-10.04,0.513,-3.796,-41.011,-105.713,0.581,-0.512,0.404,-0.483
2502,-0.009,0.03,-0.004,0.254,-10.04,0.517,-4.218,-39.869,-104.982,0.58,-0.512,0.405,-0.484
2503,0.039,-0.04,0.014,0.307,-10.03,0.642,-4.218,-39.869,-104.982,0.58,-0.512,0.405,-0.484
2504,-0.024,0.025,-0.023,0.268,-9.997,0.431,-2.456,-41.976,-105.103,0.579,-0.512,0.405,-0.484
2505,0.023,-0.015,0.063,0.268,-10.078,0.412,-3.5,-41.495,-105.712,0.579,-0.512,0.406,-0.484
2506,0.014,0.011,0.051,0.144,-10.093,0.441,-3.5,-41.495,-105.712,0.579,-0.512,0.406,-0.485
2507,-0.041,0.008,-0.009,0.273,-10.011,0.46,-3.211,-40.855,-105.544,0.578,-0.512,0.407,-0.485
2508,0.035,0.007,0.021,0.34,-10.093,0.412,-3.551,-40.718,-106.858,0.578,-0.512,0.407,-0.485
2509,0.026,-0.024,0.033,0.307,-10.021,0.46,-4.493,-40.824,-104.865,0.578,-0.511,0.407,-0.485
2510,-0.008,0.017,0.022,0.259,-9.978,0.503,-3.604,-40.018,-104.093,0.577,-0.511,0.408,-0.486
2511,-0.006,-0.007,0.018,0.393,-9.963,0.517,-3.772,-39.385,-104.522,0.577,-0.511,0.408,-0.486
2512,0.035,-0.053,0.041,0.354,-10.064,0.489,-3.8,-40.69,-105.707,0.577,-0.511,0.408,-0.486
2513,0.001,0.042,-0.016,0.254,-9.978,0.417,-3.74,-42.268,-104.576,0.576,-0.511,0.408,-0.486
2514,0.056,-0.044,0.097,0.374,-9.939,0.503,-4.626,-40.976,-104.583,0.576,-0.511,0.409,-0.486
2515,0.041,-0.001,0.006,0.345,-10.097,0.503,-4.775,-41.621,-104.891,0.576,-0.511,0.409,-0.487
2516,0.01,-0.025,0.021,0.297,-10.006,0.541,-4.775,-41.621,-104.891,0.576,-0.511,0.409,-0.487
2517,0.041,0.009,0.038,0.321,-10.016,0.565,-2.869,-41.635,-104.387,0.575,-0.51,0.409,-0.487
2518,0.013,-0.023,0.041,0.172,-10.04,0.57,-4.197,-41.791,-105.018,0.575,-0.51,0.41,-0.487
2519,-0.001,-0.011,0.031,0.263,-9.997,0.513,-4.645,-40.665,-105.013,0.575,-0.51,0.41,-0.487
2520,-0.033,0.019,0.005,0.374,-10.021,0.479,-4.684,-41.009,-106.18,0.574,-0.51,0.41,-0.488
2521,-0.01,0.046,-0.047,0.206,-10.083,0.45,-3.488,-40.198,-104.962,0.574,-0.51,0.411,-0.488
2522,0.054,-0.009,0,0.369,-10.097,0.383,-3.493,-40.685,-105.261,0.573,-0.51,0.411,-0.488
2523,-0.039,-0.014,0.019,0.177,-9.963,0.45,-4.2,-41.471,-105.012,0.573,-0.51,0.411,-0.488
2524,0.04,-0.029,0.031,0.206,-9.896,0.388,-4.092,-40.043,-105.56,0.573,-0.51,0.412,-0.489
2525,-0.012,0.049,0.007,0.278,-9.949,0.417,-3.062,-40.21,-105.236,0.572,-0.51,0.412,-0.489
2526,-0.029,0.069,-0.038,0.297,-9.973,0.393,-3.062,-40.21,-105.236,0.572,-0.51,0.413,-0.489
2527,-0.003,0.054,-0.022,0.115,-9.915,0.412,-1.935,-39.922,-106.06,0.571,-0.51,0.413,-0.49
2528,-0.014,-0.005,0.032,0.378,-10.069,0.484,-4.681,-39.879,-105.724,0.571,-0.51,0.413,-0.49
2529,-0.05,0.034,-0.044,0.273,-9.968,0.388,-4.681,-39.879,-105.724,0.57,-0.51,0.414,-0.49
2530,-0.04,0.017,-0.026,0.307,-9.911,0.536,-4.498,-40.343,-104.856,0.569,-0.51,0.414,-0.491
2531,-0.041,0.037,-0.03,0.302,-10.03,0.426,-5.856,-40.194,-106.207,0.569,-0.51,0.414,-0.491
2532,0.017,-0.032,0.05,0.345,-9.992,0.474,-4.225,-40.195,-105.278,0.569,-0.51,0.415,-0.491
2533,0.027,0.001,0.047,0.311,-9.992,0.465,-2.91,-40.369,-105.089,0.568,-0.51,0.415,-0.491
2534,0.041,-0.004,0.004,0.187,-9.987,0.431,-3.481,-39.388,-104.511,0.568,-0.51,0.415,-0.491
2535,-0.005,0.023,-0.033,0.225,-9.992,0.541,-2.878,-40.834,-104.372,0.568,-0.51,0.416,-0.492
2536,-0.042,0.055,0.024,0.311,-10.073,0.441,-4.218,-39.869,-104.982,0.567,-0.51,0.416,-0.492
2537,0.042,-0.023,0.012,0.249,-10.04,0.541,-4.519,-40.839,-105.591,0.567,-0.51,0.416,-0.492
2538,-0.036,0.045,0.005,0.259,-9.915,0.374,-3.672,-39.574,-105.826,0.566,-0.51,0.417,-0.492
2539,-0.043,0.045,0.042,0.34,-10.16,0.527,-3.672,-39.574,-105.826,0.566,-0.509,0.417,-0.493
2540,0.011,0.002,0.088,0.144,-9.954,0.393,-4.251,-40.694,-106.159,0.566,-0.509,0.418,-0.493
2541,0.023,0.046,0.001,0.292,-10.112,0.484,-4.665,-39.87,-105.288,0.565,-0.509,0.418,-0.493
2542,0.01,0.019,-0.012,0.096,-9.997,0.498,-4.519,-40.839,-105.591,0.565,-0.509,0.419,-0.493
2543,0.03,-0.028,0.02,0.249,-9.992,0.594,-5.381,-39.855,-105.024,0.565,-0.509,0.419,-0.494
2544,0.026,-0.028,0.054,0.321,-10.059,0.517,-4.071,-39.547,-104.825,0.565,-0.509,0.419,-0.494
2545,0.032,-0.013,0.05,0.115,-9.954,0.436,-2.487,-39.253,-105.052,0.565,-0.508,0.419,-0.494
2546,0.03,-0.045,0.046,0.23,-10.093,0.517,-4.194,-40.661,-104.561,0.565,-0.508,0.419,-0.494
2547,0.056,0.01,0.038,0.254,-9.949,0.522,-3.521,-41.023,-106.138,0.564,-0.508,0.42,-0.494
2548,0.039,-0.034,0.019,0.402,-10.073,0.479,-2.563,-40.179,-103.478,0.564,-0.508,0.42,-0.494
2549,0.034,0.051,-0.015,0.254,-10.016,0.474,-2.563,-40.179,-103.478,0.564,-0.508,0.42,-0.495
2550,0.023,0.03,-0.001,0.316,-9.958,0.441,-4.057,-40.829,-104.849,0.563,-0.508,0.42,-0.495
2551,0.061,-0.031,0.05,0.268,-9.978,0.556,-5.225,-40.334,-104.882,0.563,-0.507,0.42,-0.495
2552,-0.027,0.043,-0.028,0.259,-10.064,0.594,-5.225,-40.334,-104.882,0.563,-0.507,0.421,-0.495
2553,0.036,-0.022,-0.003,0.307,-9.978,0.412,-3.498,-40.204,-105.252,0.563,-0.507,0.421,-0.496
2554,-0.039,0.043,-0.007,0.326,-9.973,0.546,-3.779,-40.195,-104.972,0.562,-0.507,0.421,-0.496
2555,0.044,-0.033,0.056,0.235,-9.992,0.551,-3.201,-40.365,-105.099,0.562,-0.507,0.421,-0.496
2556,-0.022,0.029,0.037,0.273,-10.097,0.469,-4.677,-40.199,-105.73,0.562,-0.507,0.422,-0.496
2557,0.029,0.013,0.088,0.22,-9.949,0.388,-4.179,-40.975,-104.277,0.562,-0.507,0.422,-0.496
2558,-0.005,-0.039,0.022,0.263,-9.968,0.551,-4.502,-40.023,-104.85,0.561,-0.507,0.423,-0.496
2559,-0.001,0.034,-0.004,0.316,-9.973,0.402,-4.223,-41.806,-105.744,0.561,-0.507,0.423,-0.496
2560,0,0.05,-0.031,0.302,-10.064,0.422,-4.027,-41.134,-104.129,0.56,-0.507,0.423,-0.497
2561,0.057,-0.019,0.034,0.254,-10.021,0.498,-4.516,-41.159,-105.597,0.56,-0.506,0.423,-0.497
2562,0.049,0.002,0.041,0.307,-9.935,0.426,-4.516,-41.159,-105.597,0.56,-0.506,0.424,-0.497
2563,0.007,0.013,0.062,0.192,-10.054,0.465,-4.229,-39.875,-105.272,0.56,-0.506,0.424,-0.497
2564,0.02,-0.008,0.05,0.211,-10.021,0.541,-3.778,-42.613,-105.743,0.56,-0.506,0.424,-0.497
2565,0.024,-0.029,0.007,0.331,-10.083,0.441,-2.329,-39.892,-104.914,0.56,-0.506,0.424,-0.498
2566,-0.005,0.064,0.004,0.287,-10.088,0.57,-3.43,-40.649,-103.519,0.559,-0.505,0.425,-0.498
2567,-0.036,0.037,0.003,0.225,-10.05,0.469,-3.518,-39.893,-105.682,0.559,-0.505,0.425,-0.498
2568,0.048,0,0.064,0.201,-10.002,0.455,-3.467,-40.67,-104.535,0.559,-0.505,0.426,-0.498
2569,0.004,0.059,0.026,0.283,-9.982,0.469,-4.642,-40.985,-105.019,0.558,-0.505,0.426,-0.498
2570,0.044,0.056,0.046,0.307,-10.026,0.484,-3.764,-41.476,-104.996,0.558,-0.505,0.426,-0.499
2571,0.008,0.088,-0.059,0.168,-10.03,0.56,-2.449,-41.65,-104.807,0.557,-0.504,0.427,-0.499
2572,0.026,0.046,0.033,0.249,-10.011,0.508,-2.449,-41.65,-104.807,0.557,-0.504,0.427,-0.5
2573,0.002,0.054,-0.052,0.292,-9.963,0.503,-3.505,-41.014,-105.703,0.557,-0.504,0.427,-0.5
2574,-0.003,0.058,0.015,0.134,-9.982,0.527,-4.198,-42.598,-105.323,0.556,-0.504,0.428,-0.5
2575,-0.006,0.035,-0.005,0.374,-9.867,0.637,-4.791,-41.146,-105.172,0.556,-0.504,0.428,-0.501
2576,-0.013,0.029,0.002,0.216,-9.93,0.632,-3.692,-41.758,-103.115,0.555,-0.504,0.428,-0.501
2577,-0.004,0.023,-0.001,0.311,-9.925,0.374,-3.192,-41.166,-105.114,0.555,-0.504,0.429,-0.501
2578,0.03,-0.004,0.042,0.283,-9.982,0.422,-4.794,-40.826,-105.166,0.555,-0.504,0.429,-0.501
2579,0.053,-0.033,0.072,0.115,-10.045,0.546,-3.763,-40.186,-104.537,0.555,-0.503,0.429,-0.501
2580,0.013,-0.034,0.045,0.292,-9.982,0.479,-4.803,-40.025,-105.151,0.555,-0.503,0.429,-0.501
2581,-0.039,0.018,-0.009,0.383,-10.011,0.527,-1.763,-40.392,-105.482,0.554,-0.503,0.43,-0.501
2582,-0.001,0.029,0.006,0.321,-10.054,0.56,-1.763,-40.392,-105.482,0.554,-0.503,0.43,-0.501
2583,0.045,0.002,0.037,0.311,-10.006,0.575,-3.45,-39.854,-103.794,0.554,-0.503,0.43,-0.502
2584,0.016,0.013,0.026,0.254,-9.887,0.517,-3.231,-40.06,-105.819,0.554,-0.503,0.43,-0.502
2585,-0.015,-0.01,0.003,0.297,-10.03,0.556,-3.231,-40.06,-105.819,0.554,-0.503,0.431,-0.502
2586,-0.019,0.016,-0.031,0.268,-9.887,0.493,-4.191,-38.563,-103.796,0.553,-0.503,0.431,-0.502
2587,-0.028,0.03,-0.038,0.273,-10.03,0.541,-3.052,-40.204,-104.946,0.553,-0.503,0.431,-0.502
2588,-0.032,0.004,-0.005,0.249,-9.982,0.575,-3.022,-41.476,-104.534,0.552,-0.503,0.431,-0.503
2589,-0.007,0.055,0.016,0.354,-10.021,0.604,-3.789,-40.201,-105.263,0.552,-0.503,0.432,-0.503
2590,0.016,-0.007,0.016,0.211,-10.026,0.584,-3.784,-40.681,-105.272,0.552,-0.503,0.432,-0.503
2591,-0.002,-0.04,0.059,0.311,-10.026,0.498,-2.309,-40.204,-104.484,0.552,-0.503,0.432,-0.503
2592,-0.027,0.012,0.001,0.249,-9.963,0.513,-1.467,-39.909,-105.173,0.551,-0.503,0.432,-0.503
2593,0.006,0.052,0.041,0.206,-10.064,0.517,-3.821,-40.219,-106.134,0.551,-0.502,0.433,-0.503
2594,-0.014,-0.02,0.011,0.139,-9.992,0.527,-3.775,-41.482,-105.287,0.551,-0.503,0.433,-0.503
2595,0.02,-0.043,0.084,0.196,-10.069,0.604,-3.775,-41.482,-105.287,0.551,-0.502,0.433,-0.503
2596,-0.002,0.007,0.003,0.254,-10.083,0.57,-3.489,-41.005,-105.267,0.551,-0.502,0.434,-0.503
2597,0.031,-0.026,0.037,0.331,-9.973,0.627,-4.494,-41.631,-105.171,0.55,-0.502,0.434,-0.503
2598,-0.016,0.009,0.026,0.168,-9.968,0.57,-5.052,-40.965,-104.308,0.55,-0.502,0.434,-0.503
2599,-0.016,0.026,0.03,0.096,-9.997,0.551,-4.057,-40.829,-104.849,0.55,-0.502,0.434,-0.503
2600,-0.003,0.026,0.011,0.254,-10.064,0.513,-3.596,-41.626,-104.413,0.55,-0.502,0.435,-0.504
2601,0.025,-0.013,0.05,0.292,-9.963,0.479,-4.528,-40.038,-105.576,0.55,-0.502,0.435,-0.504
2602,0.036,0.001,0.05,0.201,-9.906,0.637,-3.784,-40.681,-105.272,0.55,-0.501,0.435,-0.504
2603,0.017,0.03,-0.066,0.22,-9.935,0.436,-4.647,-41.472,-105.318,0.549,-0.501,0.435,-0.504
2604,0.027,-0.032,0.048,0.374,-9.925,0.57,-3.717,-40.966,-103.535,0.549,-0.501,0.435,-0.504
2605,0.036,-0.036,0.001,0.364,-9.997,0.604,-3.717,-40.966,-103.535,0.549,-0.501,0.435,-0.504
2606,0.029,0.006,0.005,0.22,-9.915,0.551,-3.048,-41.491,-105.26,0.549,-0.501,0.436,-0.505
2607,0.014,0.007,0.016,0.278,-10.002,0.56,-3.767,-39.865,-104.531,0.549,-0.501,0.436,-0.505
2608,0.019,-0.03,0.079,0.172,-10.026,0.656,-3.767,-39.865,-104.531,0.549,-0.501,0.436,-0.505
2609,-0.009,0.022,0.007,0.292,-10.002,0.56,-3.203,-39.238,-104.788,0.548,-0.501,0.436,-0.505
2610,0.026,0.023,0.029,0.259,-9.949,0.546,-4.645,-40.665,-105.013,0.548,-0.501,0.437,-0.505
2611,-0.029,0.026,-0.004,0.249,-10.064,0.599,-2.957,-40.879,-106.55,0.548,-0.501,0.437,-0.505
2612,0.034,0.021,0.035,0.302,-9.987,0.589,-3.027,-40.996,-104.525,0.548,-0.5,0.437,-0.505
2613,0.034,-0.029,0.053,0.283,-10.059,0.546,-3.211,-40.855,-105.544,0.548,-0.5,0.437,-0.505
2614,-0.028,0.05,-0.028,0.283,-9.997,0.393,-4.076,-40.034,-105.125,0.547,-0.5,0.438,-0.506
2615,0.001,0.024,-0.004,0.259,-10.05,0.517,-4.208,-39.379,-104.537,0.547,-0.5,0.438,-0.506
2616,-0.007,0.033,-0.049,0.297,-9.896,0.445,-3.453,-40.984,-104.251,0.546,-0.5,0.438,-0.506
2617,0.003,0.05,-0.031,0.206,-10.117,0.551,-3.745,-41.788,-104.567,0.546,-0.5,0.438,-0.507
2618,0.056,-0.029,0.038,0.445,-10.002,0.556,-3.745,-41.788,-104.567,0.546,-0.5,0.438,-0.507
2619,0.025,-0.021,0.011,0.158,-9.968,0.627,-3.438,-42.266,-104.275,0.546,-0.5,0.438,-0.507
2620,0.032,0.034,0.021,0.273,-9.954,0.589,-2.559,-41.467,-103.793,0.546,-0.5,0.438,-0.507
2621,-0.027,0.082,0.013,0.172,-9.958,0.522,-4.224,-39.388,-104.973,0.545,-0.499,0.439,-0.507
2622,0.025,0.033,-0.005,0.163,-9.93,0.656,-3.479,-40.999,-104.977,0.545,-0.499,0.439,-0.508
2623,0.023,-0.043,0.03,0.225,-9.992,0.565,-3.779,-40.195,-104.972,0.545,-0.499,0.439,-0.508
2624,0.021,0.064,0.026,0.206,-10.021,0.594,-1.91,-40.714,-105.639,0.545,-0.499,0.44,-0.508
2625,0.054,0.031,0.081,0.24,-10.05,0.656,-3.038,-41.485,-104.97,0.545,-0.498,0.44,-0.508
2626,-0.017,0.009,-0.034,0.153,-10.04,0.604,-4.08,-38.746,-104.81,0.544,-0.498,0.44,-0.508
2627,0.028,-0.012,0.062,0.268,-10.054,0.632,-4.209,-40.67,-104.997,0.544,-0.498,0.44,-0.508
2628,0.064,-0.039,0.046,0.12,-10.021,0.584,-4.209,-40.67,-104.997,0.544,-0.498,0.44,-0.508
2629,0.026,-0.02,0.049,0.297,-10.117,0.541,-4.619,-40.65,-104.287,0.544,-0.498,0.441,-0.508
2630,0.059,-0.037,0.02,0.153,-10.112,0.503,-3.497,-39.397,-104.947,0.544,-0.498,0.44,-0.508
2631,0.065,0.001,0.057,0.172,-10.136,0.57,-3.763,-40.186,-104.537,0.545,-0.497,0.441,-0.508
2632,0.052,0.007,-0.022,0.311,-9.992,0.575,-3.611,-40.345,-104.389,0.544,-0.497,0.441,-0.509
2633,0.083,-0.037,0.039,0.287,-9.968,0.503,-3.472,-40.189,-104.526,0.545,-0.497,0.441,-0.509
2634,0.068,0.002,0.071,0.216,-10.083,0.436,-3.203,-39.238,-104.788,0.545,-0.497,0.441,-0.509
2635,0.089,0,0.035,0.201,-10.006,0.618,-2.953,-37.975,-105.479,0.545,-0.496,0.441,-0.509
2636,0.067,0.016,0.003,0.029,-9.915,0.637,-2.875,-41.155,-104.378,0.545,-0.496,0.441,-0.509
2637,0.069,0.017,0.003,0.23,-10.03,0.536,-4.775,-39.203,-104.12,0.545,-0.496,0.441,-0.51
2638,0.05,0.008,-0.037,0.254,-9.968,0.733,-4.775,-39.203,-104.12,0.544,-0.496,0.441,-0.51
2639,0.068,-0.015,0.021,0.216,-10.059,0.68,-3.057,-40.69,-105.245,0.544,-0.496,0.441,-0.51
2640,0.027,0.005,0.021,0.168,-10.03,0.728,-4.229,-39.875,-105.272,0.544,-0.495,0.441,-0.51
2641,0.012,0.007,0.027,0.254,-9.978,0.651,-4.229,-39.875,-105.272,0.544,-0.495,0.441,-0.511
2642,-0.017,0.054,0.004,0.283,-10.026,0.584,-3.245,-38.778,-105.795,0.544,-0.495,0.442,-0.511
2643,-0.014,0.031,0,0.249,-9.968,0.522,-3.071,-39.409,-105.221,0.543,-0.495,0.442,-0.511
2644,0.024,0.006,0.054,0.292,-10.016,0.618,-4.665,-39.87,-105.288,0.543,-0.495,0.442,-0.511
2645,-0.041,0.107,-0.029,0.038,-9.911,0.556,-3.476,-39.869,-104.52,0.543,-0.495,0.443,-0.511
2646,-0.032,0.046,-0.03,0.125,-9.978,0.618,-2.287,-39.868,-103.752,0.542,-0.495,0.443,-0.511
2647,0.017,0.042,0.026,0.187,-9.863,0.56,-4.197,-39.373,-104.247,0.542,-0.494,0.443,-0.512
2648,0.05,-0.014,0.005,0.244,-10.035,0.69,-2.303,-39.877,-104.188,0.542,-0.494,0.443,-0.512
2649,0.043,-0.057,0.013,0.172,-10.03,0.532,-2.303,-39.877,-104.188,0.542,-0.494,0.443,-0.512
2650,0.033,0.033,-0.003,0.24,-9.997,0.656,-3.497,-39.397,-104.947,0.542,-0.494,0.443,-0.512
2651,0.039,-0.001,-0.022,0.23,-9.834,0.623,-2.868,-40.828,-104.081,0.542,-0.494,0.443,-0.512
2652,0.009,0.006,-0.01,0.225,-9.987,0.699,-2.868,-40.828,-104.081,0.542,-0.494,0.443,-0.513
2653,0.034,-0.026,0.013,0.268,-9.949,0.613,-4.179,-40.975,-104.277,0.541,-0.494,0.443,-0.513
2654,0.045,0.049,0.067,0.316,-10.097,0.618,-2.49,-40.383,-105.509,0.541,-0.494,0.444,-0.513
2655,0.056,0.038,0.078,0.096,-9.935,0.642,-2.92,-40.858,-105.533,0.542,-0.493,0.444,-0.513
2656,0.1,0.057,-0.024,0.297,-9.906,0.431,-3.458,-41.471,-104.55,0.541,-0.493,0.444,-0.513
2657,0.204,0.106,0.011,0.105,-10.126,0.532,-3.029,-39.868,-104.214,0.541,-0.492,0.444,-0.514
2658,0.202,0.193,0.007,0.153,-10.107,0.594,-2.472,-39.567,-104.768,0.541,-0.491,0.444,-0.515
2659,0.306,0.226,0.004,0.158,-10.054,0.249,-4.215,-40.189,-104.988,0.541,-0.489,0.444,-0.516
2660,0.382,0.195,0.136,0.192,-7.932,1.71,-3.463,-40.99,-104.541,0.542,-0.487,0.444,-0.518
2661,0.526,0.169,-0.015,0.057,-10.15,1.193,-4.185,-39.044,-103.805,0.543,-0.486,0.443,-0.519
2662,0.389,0.36,-0.033,0.292,-10.021,0.426,-4.185,-39.044,-103.805,0.543,-0.484,0.443,-0.521
