n,gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q3,q4
107,-0.008,-0.045,0.032,-0.465,0.096,9.896,1.63,-4.451,-92.206,0.984,0.005,0.014,-0.168
108,-0.047,0.01,0.041,-0.565,0.148,9.93,2.087,-3.961,-91.455,0.984,0.004,0.014,-0.168
109,-0.046,0.007,-0.05,-0.522,0.057,9.997,1.409,-1.913,-93.47,0.984,0.004,0.014,-0.168
110,-0.07,0.039,0.013,-0.45,-0.005,9.939,-0.163,-3.329,-93.264,0.984,0.004,0.014,-0.168
111,-0.021,0.03,0.011,-0.536,-0.062,9.935,0.259,-3.02,-93.533,0.984,0.004,0.015,-0.168
112,-0.023,0.05,-0.028,-0.484,-0.043,9.867,1.021,-3.815,-92.795,0.984,0.004,0.015,-0.168
113,-0.01,0.023,-0.015,-0.393,-0.062,10.016,1.264,-2.878,-93.783,0.984,0.004,0.015,-0.168
114,0.033,0.004,0.054,-0.445,0.024,10.021,0.704,-3.826,-93.532,0.984,0.004,0.015,-0.168
115,-0.018,-0.045,0.018,-0.417,0.029,9.987,1.457,-3.82,-92.78,0.984,0.004,0.015,-0.168
116,-0.058,-0.017,0.061,-0.493,0.077,9.863,1.457,-3.82,-92.78,0.984,0.004,0.015,-0.167
117,-0.007,-0.029,0.052,-0.513,-0.034,9.877,0.873,-3.169,-92.643,0.984,0.004,0.015,-0.167
118,-0.054,0.038,-0.036,-0.335,0.029,10.002,1.501,-5.407,-92.084,0.984,0.004,0.015,-0.167
119,-0.028,0.008,-0.021,-0.422,-0.005,9.944,1.501,-5.407,-92.084,0.984,0.004,0.015,-0.167
120,0.029,-0.054,0.032,-0.412,0.077,9.968,-0.459,-3.812,-93.574,0.984,0.004,0.015,-0.167
121,-0.028,0.039,-0.023,-0.412,0.158,9.939,1.902,-4.627,-92.779,0.984,0.004,0.015,-0.167
122,-0.014,0.027,0.022,-0.474,0.043,9.949,1.33,-3.646,-92.201,0.984,0.004,0.016,-0.167
123,-0.024,-0.004,0.034,-0.484,0.062,9.724,0.905,-3.635,-91.926,0.984,0.004,0.016,-0.167
