gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q2,q3
-0.046,0.062,0.004,-0.053,0.105,10.313,-12.3,4.35,-25.73,0.844,-0.02,-0.141,0.514
-0.016,0.054,0.022,-0.153,0.115,10.203,-10.8,4.95,-26.33,0.844,-0.021,-0.14,0.514
0.003,-0.007,0.031,0.034,-0.024,10.222,-11.7,4.65,-27.38,0.844,-0.02,-0.14,0.514
0.018,-0.046,0.064,-0.072,0.192,10.255,-10.5,5.4,-26.63,0.844,-0.02,-0.141,0.514
-0.064,0.017,-0.001,-0.057,0.144,10.222,-10.8,4.95,-25.58,0.844,-0.02,-0.141,0.514
0.005,0.017,0.069,-0.091,0.067,10.188,-10.5,3.15,-25.88,0.844,-0.02,-0.14,0.514
-0.029,0.092,-0.009,-0.086,0.12,10.203,-10.5,3.15,-25.88,0.844,-0.02,-0.14,0.514
-0.037,0.076,-0.006,-0.081,0.081,10.136,-10.8,3.9,-25.58,0.844,-0.02,-0.14,0.514
-0.024,0.04,0.021,-0.182,0.0,10.227,-11.85,4.05,-26.18,0.844,-0.021,-0.14,0.515
-0.046,0.041,0.002,-0.024,0.134,10.222,-10.2,3.75,-25.43,0.844,-0.021,-0.14,0.515
-0.061,0.027,-0.001,-0.12,0.144,10.26,-10.05,3.9,-27.08,0.844,-0.021,-0.139,0.515
0.124,0.019,0.072,-0.062,-0.005,10.327,-10.05,4.2,-25.13,0.844,-0.02,-0.139,0.515
-0.074,-0.071,0.011,-0.043,0.048,10.275,-12.3,3.75,-26.18,0.843,-0.02,-0.14,0.515
-0.109,0.01,-0.049,0.014,0.081,10.169,-12.3,3.75,-26.18,0.844,-0.02,-0.14,0.515
-0.019,0.068,-0.02,0.029,0.072,10.308,-10.05,6.15,-25.88,0.844,-0.021,-0.14,0.515
-0.028,0.076,0.068,-0.014,0.187,10.246,-11.1,5.85,-26.18,0.843,-0.021,-0.14,0.515
-0.05,-0.089,-0.062,0.062,0.077,10.409,-11.85,4.8,-26.48,0.844,-0.021,-0.14,0.515
-0.106,0.091,-0.051,-0.043,0.034,10.069,-10.65,3.3,-27.23,0.844,-0.021,-0.14,0.515
0.005,0.002,0.0,-0.12,0.048,10.15,-10.8,5.7,-25.88,0.844,-0.021,-0.14,0.515
-0.001,-0.073,-0.001,-0.12,0.086,10.342,-10.05,4.2,-25.13,0.844,-0.021,-0.14,0.515
-0.042,0.121,-0.03,0.081,0.096,10.193,-11.1,4.35,-26.48,0.844,-0.021,-0.14,0.515
0.01,-0.085,0.06,-0.077,0.096,10.212,-10.65,4.8,-24.98,0.843,-0.021,-0.14,0.515
0.018,-0.058,0.081,-0.168,0.048,10.246,-10.65,4.8,-24.98,0.843,-0.02,-0.14,0.515
-0.055,0.009,0.057,-0.091,0.034,10.212,-11.1,4.05,-25.43,0.843,-0.02,-0.141,0.515
-0.036,0.078,-0.029,0.034,0.216,10.141,-10.5,3.9,-27.08,0.843,-0.021,-0.14,0.515
-0.044,-0.038,0.046,-0.115,0.057,10.131,-10.5,3.9,-27.08,0.843,-0.02,-0.14,0.516
-0.001,0.033,0.031,0.0,0.024,10.251,-11.1,4.8,-26.18,0.843,-0.02,-0.14,0.516
0.035,-0.031,0.001,-0.053,0.101,10.275,-11.25,4.95,-25.58,0.843,-0.02,-0.14,0.516
-0.077,0.011,-0.055,-0.038,0.01,10.193,-8.7,5.1,-24.98,0.843,-0.02,-0.14,0.516
0.017,0.013,0.013,-0.101,0.192,10.179,-11.1,5.85,-24.23,0.843,-0.02,-0.14,0.516
-0.016,0.062,0.02,-0.053,0.062,10.265,-10.8,4.65,-26.33,0.843,-0.02,-0.14,0.516
-0.022,0.068,-0.011,0.005,0.163,10.255,-11.4,3.75,-25.43,0.843,-0.02,-0.14,0.516
0.006,-0.01,0.044,-0.048,0.105,10.222,-11.4,3.75,-25.43,0.843,-0.02,-0.14,0.516
-0.036,0.057,-0.016,-0.053,-0.057,10.251,-10.8,3.9,-25.88,0.843,-0.02,-0.14,0.516
-0.032,-0.001,0.051,0.005,0.019,10.217,-10.5,6.15,-27.08,0.843,-0.02,-0.14,0.516
-0.07,0.033,0.024,0.029,0.043,10.232,-10.65,4.35,-26.48,0.843,-0.021,-0.14,0.516
0.007,0.001,0.027,-0.048,0.101,10.131,-11.4,4.35,-25.43,0.843,-0.02,-0.14,0.516
-0.036,0.036,-0.048,-0.125,0.062,10.294,-9.6,3.9,-26.63,0.843,-0.021,-0.14,0.516
-0.03,0.051,-0.002,0.0,0.129,10.279,-10.8,3.15,-27.08,0.843,-0.021,-0.14,0.516
-0.075,0.053,-0.038,-0.057,0.034,10.255,-10.5,4.65,-27.83,0.843,-0.021,-0.139,0.516
0.001,-0.017,0.016,0.01,0.163,10.284,-9.6,4.95,-28.58,0.843,-0.021,-0.139,0.516
-0.011,-0.036,0.021,-0.206,0.057,10.246,-11.7,4.2,-27.08,0.843,-0.02,-0.139,0.516
-0.037,0.035,0.037,0.038,0.182,10.16,-11.7,4.2,-27.08,0.843,-0.02,-0.139,0.516
-0.069,0.062,-0.064,-0.125,0.101,10.275,-10.05,3.45,-26.33,0.843,-0.021,-0.139,0.516
-0.012,0.009,0.194,-0.335,0.144,10.251,-10.05,5.4,-26.33,0.842,-0.021,-0.139,0.517
-0.033,0.076,0.013,-0.029,0.043,10.26,-10.2,3.3,-26.93,0.842,-0.021,-0.139,0.517
-0.043,-0.011,0.028,-0.096,0.019,10.318,-11.1,4.35,-28.43,0.842,-0.021,-0.139,0.517
-0.013,-0.063,0.034,0.053,0.158,10.227,-9.9,3.75,-27.68,0.842,-0.021,-0.139,0.517
-0.059,0.111,0.006,-0.081,0.057,10.136,-9.0,3.3,-25.88,0.842,-0.021,-0.138,0.517
-0.043,0.051,-0.026,0.014,-0.005,10.179,-9.0,3.3,-26.93,0.842,-0.021,-0.138,0.517
0.008,-0.036,0.063,0.014,0.091,10.16,-10.05,4.65,-26.33,0.842,-0.021,-0.138,0.518
0.001,0.006,0.13,-0.029,0.23,10.27,-10.05,4.65,-26.33,0.842,-0.021,-0.138,0.518
-0.06,0.034,0.029,-0.014,0.244,10.136,-11.7,4.95,-27.08,0.842,-0.021,-0.138,0.518
-0.048,0.047,-0.035,0.005,-0.067,10.299,-10.8,3.9,-26.33,0.842,-0.021,-0.138,0.518
0.016,0.004,0.043,-0.038,0.043,10.15,-11.1,4.05,-25.73,0.842,-0.021,-0.138,0.518
0.015,-0.051,0.031,-0.053,0.091,10.208,-11.4,4.05,-26.93,0.842,-0.02,-0.138,0.519
-0.01,-0.029,0.048,0.0,-0.005,10.15,-11.1,3.75,-27.68,0.841,-0.02,-0.138,0.519
-0.057,0.039,0.015,0.0,0.072,10.241,-11.25,3.45,-27.83,0.841,-0.02,-0.138,0.519
