ax,ay,az,gx,gy,gz,mx,my,mz
-1048.0,6408.0,18472.0,-22270.0,19723.0,32767.0,-204.0,-247.0,-449.0
-904.0,11976.0,18728.0,-9104.0,23806.0,32767.0,-177.0,-226.0,-460.0
2016.0,11456.0,19304.0,-6352.0,32141.0,32767.0,-157.0,-220.0,-474.0
328.0,12304.0,22248.0,-1238.0,28955.0,25402.0,-132.0,-226.0,-458.0
-3200.0,10320.0,24400.0,-13886.0,32767.0,19049.0,-93.0,-222.0,-458.0
-1880.0,16544.0,23168.0,-6569.0,32767.0,9523.0,-52.0,-220.0,-437.0
-448.0,15472.0,21072.0,-4964.0,32767.0,3221.0,-0.0,-218.0,-409.0
-3272.0,9760.0,16368.0,-8771.0,32767.0,983.0,42.0,-220.0,-372.0
-4160.0,8872.0,10864.0,-6997.0,32767.0,3638.0,76.0,-220.0,-298.0
-5936.0,9200.0,7032.0,-9816.0,32767.0,9957.0,80.0,-224.0,-222.0
-6840.0,9184.0,3440.0,-9381.0,32767.0,16838.0,87.0,-239.0,-175.0
-5256.0,10536.0,1120.0,-8143.0,32767.0,19739.0,52.0,-245.0,-89.0
-3512.0,9352.0,136.0,-6689.0,32767.0,23611.0,26.0,-264.0,-57.0
1704.0,10152.0,-1344.0,-4127.0,32767.0,25087.0,-34.0,-284.0,2.0
4160.0,11880.0,344.0,-5268.0,32767.0,20757.0,-84.0,-296.0,24.0
9080.0,13696.0,-1728.0,11209.0,32767.0,17078.0,-164.0,-302.0,43.0
13456.0,14992.0,-2304.0,23433.0,30174.0,4983.0,-190.0,-285.0,45.0
14616.0,16872.0,-1960.0,32767.0,22037.0,-13201.0,-234.0,-248.0,58.0
11272.0,13696.0,-6328.0,32767.0,9122.0,-32768.0,-253.0,-204.0,55.0
9208.0,3752.0,-6272.0,32767.0,11233.0,-32768.0,-254.0,-166.0,47.0
9008.0,1624.0,-13496.0,32767.0,31673.0,-32768.0,-279.0,-131.0,36.0
8848.0,-3744.0,-13264.0,32767.0,28338.0,-32768.0,-316.0,-99.0,3.0
12720.0,-1376.0,-11616.0,32767.0,32767.0,-32768.0,-343.0,-90.0,-22.0
14104.0,-6112.0,-19864.0,32669.0,20451.0,-32768.0,-392.0,-99.0,-63.0
12400.0,-7096.0,-12088.0,21943.0,12592.0,-28208.0,-401.0,-120.0,-101.0
10920.0,-7768.0,-6720.0,32767.0,20202.0,-16205.0,-426.0,-133.0,-122.0
14192.0,-9016.0,-4896.0,32767.0,28799.0,-4217.0,-443.0,-147.0,-156.0
16664.0,-10664.0,-3528.0,32767.0,29729.0,-3870.0,-434.0,-136.0,-204.0
15880.0,-11824.0,-832.0,32767.0,29461.0,-9353.0,-441.0,-149.0,-243.0
15144.0,-12360.0,2792.0,32767.0,32767.0,-8531.0,-439.0,-155.0,-277.0
15576.0,-11096.0,6912.0,30969.0,32767.0,-5319.0,-420.0,-181.0,-325.0
18360.0,-11640.0,9296.0,32767.0,32767.0,-235.0,-406.0,-201.0,-360.0
20312.0,-12360.0,9344.0,27758.0,32767.0,2123.0,-363.0,-229.0,-386.0
18816.0,-12944.0,9984.0,17265.0,32767.0,5068.0,-330.0,-252.0,-419.0
16680.0,-12864.0,12624.0,10292.0,32767.0,11704.0,-308.0,-246.0,-436.0
11824.0,-11760.0,16408.0,5533.0,32551.0,17993.0,-273.0,-262.0,-442.0
9192.0,-9240.0,17992.0,2737.0,32559.0,28892.0,-245.0,-263.0,-443.0
6256.0,-5168.0,16584.0,-8441.0,31135.0,32767.0,-216.0,-273.0,-448.0
4184.0,-5072.0,17656.0,-10876.0,26113.0,32577.0,-195.0,-256.0,-450.0
1088.0,-10960.0,17336.0,-9677.0,31618.0,32767.0,-194.0,-252.0,-457.0
-584.0,-13304.0,12552.0,-5186.0,30727.0,32767.0,-156.0,-241.0,-455.0
-3312.0,-11872.0,9032.0,-12145.0,27399.0,32767.0,-143.0,-239.0,-458.0
-7224.0,-12928.0,10608.0,-20128.0,21709.0,32767.0,-135.0,-241.0,-453.0
-5320.0,-11648.0,8144.0,-18578.0,13476.0,32767.0,-115.0,-237.0,-449.0
-8048.0,-7408.0,7144.0,-15664.0,5017.0,32767.0,-115.0,-242.0,-447.0
-8304.0,-1824.0,10408.0,-23858.0,6191.0,32767.0,-126.0,-235.0,-452.0
-6040.0,-2216.0,10760.0,-24209.0,8877.0,32767.0,-133.0,-228.0,-459.0
-6680.0,-4064.0,11688.0,-21019.0,3708.0,32767.0,-139.0,-223.0,-457.0
-5896.0,-544.0,11824.0,-20680.0,-474.0,32767.0,-136.0,-206.0,-459.0
